kepoi_name,koi_disposition,koi_period,koi_duration,koi_depth,koi_prad,koi_steff,koi_slogg,koi_srad,koi_kepmag,koi_depth_missing,koi_prad_missing,koi_srad_missing,koi_steff_missing,koi_slogg_missing
K07074.01,CANDIDATE,26.8552365,2.185,194.2,1.49,6045.0,4.494,0.955,14.958,0,0,0,0,0
K07075.01,FALSE POSITIVE,19.35954117,12.8464,386980.0,101.44,6198.0,3.96,1.567,14.257,0,0,0,0,0
K07076.01,CANDIDATE,16.2347636,4.2,115.5,1.28,6478.0,4.371,1.188,14.299,0,0,0,0,0
K07201.01,FALSE POSITIVE,1.287097944,1.94,106.1,0.89,5906.0,4.494,0.852,15.506,0,0,0,0,0
K07202.01,FALSE POSITIVE,3.5565617,6.691,68.0,0.52,4964.0,4.628,0.633,15.191,0,0,0,0,0
K07203.01,FALSE POSITIVE,3.55646511,4.72,46.1,0.56,5475.0,4.479,0.818,14.609,0,0,0,0,0
K07204.01,FALSE POSITIVE,3.661895766,35.6374,35477.0,374.78,6793.0,4.101,1.589,13.658,0,0,0,0,0
K07205.01,CANDIDATE,2.3518268,5.797,576.6,39.82,5445.0,4.14,1.426,14.106,0,0,0,0,0
K07206.01,FALSE POSITIVE,2.35195525,5.98883,212830.0,59.62,6550.0,4.324,1.225,12.23,0,0,0,0,0
K07207.01,FALSE POSITIVE,1.882438182,3.50695,344200.0,74.77,6322.0,4.211,1.213,13.68,0,0,0,0,0
K07208.01,CANDIDATE,3.57944367,1.869,117.2,0.87,5341.0,4.546,0.801,15.56,0,0,0,0,0
K07209.01,CANDIDATE,8.2553499,3.959,54.5,3.28,5403.0,3.559,3.6,13.816,0,0,0,0,0
K07335.01,FALSE POSITIVE,5.682410334,5.33373,220420.0,72.9,5897.0,4.278,1.196,14.3,0,0,0,0,0
K07336.01,FALSE POSITIVE,2.199069234,6.30646,225250.0,118.99,6613.0,4.014,1.925,13.245,0,0,0,0,0
K07337.01,FALSE POSITIVE,1.481655821,3.4913,59134.0,59.19,6478.0,4.307,1.174,13.873,0,0,0,0,0
K07338.01,FALSE POSITIVE,0.93370968,3.356,62.2,0.38,3615.0,4.839,0.42,15.431,0,0,0,0,0
K07339.01,CANDIDATE,10.6982275,3.198,246.0,1.73,6277.0,4.417,1.097,15.833,0,0,0,0,0
K07340.01,FALSE POSITIVE,1.388509353,2.84811,37638.0,52.43,6075.0,4.315,1.13,12.309,0,0,0,0,0
K07341.01,FALSE POSITIVE,9.089355023,6.4006,101480.0,68.91,7675.0,4.051,2.015,13.015,0,0,0,0,0
K07342.01,FALSE POSITIVE,0.94808587,8.03,229.8,37.72,6875.0,3.798,2.856,11.601,0,0,0,0,0
K07466.01,FALSE POSITIVE,10.368552685,4.37878,153230.0,61.14,5855.0,4.418,0.944,14.545,0,0,0,0,0
K07467.01,CANDIDATE,7.20558084,2.997,58.0,1.33,6002.0,4.025,1.693,13.553,0,0,0,0,0
K07468.01,FALSE POSITIVE,13.8602646,74.26,481.1,19.71,5667.0,4.535,0.796,14.756,0,0,0,0,0
K07469.01,FALSE POSITIVE,13.639480425,3.12422,81103.0,44.0,5461.0,4.517,0.846,15.852,0,0,0,0,0
K07470.01,CANDIDATE,392.50115,9.88,391.2,1.9,5128.0,4.388,0.988,13.87,0,0,0,0,0
K07471.01,CANDIDATE,5.29655591,3.93,135.4,1.3,6268.0,4.429,1.1,15.591,0,0,0,0,0
K07472.01,FALSE POSITIVE,6.882686062,5.47323,373660.0,60.49,5704.0,4.483,0.948,15.749,0,0,0,0,0
K07473.01,FALSE POSITIVE,1.407937865,1.585,50793.0,19.09,4627.0,4.564,0.741,14.614,0,0,0,0,0
K06288.01,FALSE POSITIVE,1.89117723,6.986,176.2,164.49,5086.0,2.66,6.86,15.003,0,0,0,0,0
K06289.01,FALSE POSITIVE,52.884577,7.892,11969.0,48.13,6483.0,4.42,1.078,15.694,0,0,0,0,0
